naics_sector,fiscal_year,total,month_name,month,year
Hotels,2016,911149.0,dec,12,2015
Restaurants,2016,3663533.0,dec,12,2015
Sport Teams,2016,2193527.0,dec,12,2015
"Arts, Entertainment, and Other Recreation",2016,963960.0,dec,12,2015
Other Sectors,2016,8661030.0,dec,12,2015
Membership Organizations,2016,2473499.0,dec,12,2015
Employment/Outsourcing Agencies,2016,2232774.0,dec,12,2015
Security and Investigation Services,2016,635622.0,dec,12,2015
Services to Buildings,2016,751545.0,dec,12,2015
Miscellaneous Sectors,2016,2567590.0,dec,12,2015
Government,2016,15121553.0,dec,12,2015
State Government (PA),2016,938258.0,dec,12,2015
"City, School District, Local Quasi Govt.",2016,8781123.0,dec,12,2015
Federal Government (includes US Post Office),2016,5250036.0,dec,12,2015
Other Governments,2016,152136.0,dec,12,2015
Unclassified Accounts,2016,205342.0,dec,12,2015
Construction,2016,5801509.0,jan,1,2016
Manufacturing (includes headquarter offices & factories),2016,10375432.0,jan,1,2016
"Chemicals, Petroleum Refining",2016,1932797.0,jan,1,2016
Pharmaceuticals,2016,1893136.0,jan,1,2016
Transportation Equipment,2016,1003419.0,jan,1,2016
Food & Beverage Products,2016,1494121.0,jan,1,2016
"Machinery, Electronic, and Other Electric Equipment",2016,803354.0,jan,1,2016
Metal Manufacturing,2016,800233.0,jan,1,2016
Miscellaneous Manufacturing,2016,2448371.0,jan,1,2016
Public Utilities,2016,980517.0,jan,1,2016
Transportation and Warehousing,2016,5057050.0,jan,1,2016
Telecommunication,2016,4199586.0,jan,1,2016
"Publishing, Broadcasting, and Other Information",2016,2248414.0,jan,1,2016
Wholesale Trade,2016,4632414.0,jan,1,2016
Retail Trade,2016,8383868.0,jan,1,2016
Banking & Credit Unions,2016,3768180.0,jan,1,2016
Securities / Financial Investments,2016,5452256.0,jan,1,2016
Insurance,2016,5421497.0,jan,1,2016
"Real Estate, Rental and Leasing",2016,2629726.0,jan,1,2016
Health and Social Services,2016,32964605.0,jan,1,2016
Hospitals,2016,17102374.0,jan,1,2016
"Doctors, Dentists, and Other Health Practitioners",2016,4905149.0,jan,1,2016
Outpatient Care Centers and Other Health Services,2016,4862345.0,jan,1,2016
Nursing & Personal Care Facilities,2016,3151878.0,jan,1,2016
Social Services,2016,2942858.0,jan,1,2016
Education,2016,10579018.0,jan,1,2016
College and Universities,2016,7247425.0,jan,1,2016
"Elementary, Secondary Schools (except public schools)",2016,2252329.0,jan,1,2016
Other Educational Services,2016,1079264.0,jan,1,2016
Professional  Services,2016,26492704.0,jan,1,2016
Legal Services,2016,13440052.0,jan,1,2016
Management Consulting,2016,4556798.0,jan,1,2016
Engineering & Architectural Services,2016,2066138.0,jan,1,2016
Computer,2016,1430860.0,jan,1,2016
"Accounting, Auditing, Bookkeeping",2016,1933884.0,jan,1,2016
Advertising and Other Professional Services,2016,3064973.0,jan,1,2016
Hotels,2016,793690.0,jan,1,2016
Restaurants,2016,4782423.0,jan,1,2016
Sport Teams,2016,1106201.0,jan,1,2016
"Arts, Entertainment, and Other Recreation",2016,1210666.0,jan,1,2016
Other Sectors,2016,11715630.0,jan,1,2016
Membership Organizations,2016,3168370.0,jan,1,2016
Employment/Outsourcing Agencies,2016,2640365.0,jan,1,2016
Security and Investigation Services,2016,967827.0,jan,1,2016
Services to Buildings,2016,974223.0,jan,1,2016
Miscellaneous Sectors,2016,3964845.0,jan,1,2016
Government,2016,22970185.0,jan,1,2016
State Government (PA),2016,1104406.0,jan,1,2016
"City, School District, Local Quasi Govt.",2016,8708215.0,jan,1,2016
Federal Government (includes US Post Office),2016,12991885.0,jan,1,2016
Other Governments,2016,165679.0,jan,1,2016
Unclassified Accounts,2016,289601.0,jan,1,2016
Construction,2016,6209459.0,feb,2,2016
Manufacturing (includes headquarter offices & factories),2016,9478539.0,feb,2,2016
"Chemicals, Petroleum Refining",2016,1521188.0,feb,2,2016
Pharmaceuticals,2016,2076871.0,feb,2,2016
Transportation Equipment,2016,895402.0,feb,2,2016
Food & Beverage Products,2016,1362004.0,feb,2,2016
"Machinery, Electronic, and Other Electric Equipment",2016,787009.0,feb,2,2016
Metal Manufacturing,2016,699259.0,feb,2,2016
Miscellaneous Manufacturing,2016,2136806.0,feb,2,2016
Public Utilities,2016,1324722.0,feb,2,2016
Transportation and Warehousing,2016,4998781.0,feb,2,2016
Telecommunication,2016,2700180.0,feb,2,2016
"Publishing, Broadcasting, and Other Information",2016,2290762.0,feb,2,2016
Wholesale Trade,2016,3953550.0,feb,2,2016
Retail Trade,2016,8216563.0,feb,2,2016
Banking & Credit Unions,2016,3187814.0,feb,2,2016
Securities / Financial Investments,2016,5410587.0,feb,2,2016
Insurance,2016,5166383.0,feb,2,2016
"Real Estate, Rental and Leasing",2016,2663178.0,feb,2,2016
Health and Social Services,2016,31358284.0,feb,2,2016
Hospitals,2016,14552056.0,feb,2,2016
"Doctors, Dentists, and Other Health Practitioners",2016,4542833.0,feb,2,2016
Outpatient Care Centers and Other Health Services,2016,5568432.0,feb,2,2016
Nursing & Personal Care Facilities,2016,3394429.0,feb,2,2016
Social Services,2016,3300533.0,feb,2,2016
Education,2016,14170519.0,feb,2,2016
College and Universities,2016,10881403.0,feb,2,2016
"Elementary, Secondary Schools (except public schools)",2016,2168481.0,feb,2,2016
Other Educational Services,2016,1120636.0,feb,2,2016
Professional  Services,2016,18657010.0,feb,2,2016
Legal Services,2016,6240301.0,feb,2,2016
Management Consulting,2016,3828961.0,feb,2,2016
Engineering & Architectural Services,2016,1972128.0,feb,2,2016
Computer,2016,1609850.0,feb,2,2016
"Accounting, Auditing, Bookkeeping",2016,1954459.0,feb,2,2016
Advertising and Other Professional Services,2016,3051310.0,feb,2,2016
Hotels,2016,1103625.0,feb,2,2016
Restaurants,2016,4834123.0,feb,2,2016
Sport Teams,2016,2114794.0,feb,2,2016
"Arts, Entertainment, and Other Recreation",2016,1339459.0,feb,2,2016
Other Sectors,2016,12986323.0,feb,2,2016
Membership Organizations,2016,3537661.0,feb,2,2016
Employment/Outsourcing Agencies,2016,2805798.0,feb,2,2016
Security and Investigation Services,2016,655935.0,feb,2,2016
Services to Buildings,2016,1085395.0,feb,2,2016
Miscellaneous Sectors,2016,4901534.0,feb,2,2016
Government,2016,14774245.0,feb,2,2016
State Government (PA),2016,964556.0,feb,2,2016
"City, School District, Local Quasi Govt.",2016,9081382.0,feb,2,2016
Federal Government (includes US Post Office),2016,4504263.0,feb,2,2016
Other Governments,2016,224045.0,feb,2,2016
Unclassified Accounts,2016,695888.0,feb,2,2016
Construction,2016,4790371.0,mar,3,2016
Manufacturing (includes headquarter offices & factories),2016,13856095.0,mar,3,2016
"Chemicals, Petroleum Refining",2016,3725802.0,mar,3,2016
Pharmaceuticals,2016,4197576.0,mar,3,2016
Transportation Equipment,2016,935381.0,mar,3,2016
Food & Beverage Products,2016,1306447.0,mar,3,2016
"Machinery, Electronic, and Other Electric Equipment",2016,829640.0,mar,3,2016
Metal Manufacturing,2016,1003489.0,mar,3,2016
Miscellaneous Manufacturing,2016,1857762.0,mar,3,2016
Public Utilities,2016,2557171.0,mar,3,2016
Transportation and Warehousing,2016,5647004.0,mar,3,2016
Telecommunication,2016,7405502.0,mar,3,2016
"Publishing, Broadcasting, and Other Information",2016,2157784.0,mar,3,2016
Wholesale Trade,2016,3123363.0,mar,3,2016
Retail Trade,2016,6761324.0,mar,3,2016
Banking & Credit Unions,2016,4368934.0,mar,3,2016
Securities / Financial Investments,2016,5901033.0,mar,3,2016
Insurance,2016,11189794.0,mar,3,2016
"Real Estate, Rental and Leasing",2016,2344368.0,mar,3,2016
Health and Social Services,2016,29418479.0,mar,3,2016
Hospitals,2016,15875356.0,mar,3,2016
"Doctors, Dentists, and Other Health Practitioners",2016,2910771.0,mar,3,2016
Outpatient Care Centers and Other Health Services,2016,4748662.0,mar,3,2016
Nursing & Personal Care Facilities,2016,3026563.0,mar,3,2016
Social Services,2016,2857128.0,mar,3,2016
Education,2016,14378519.0,mar,3,2016
College and Universities,2016,11250841.0,mar,3,2016
"Elementary, Secondary Schools (except public schools)",2016,2115644.0,mar,3,2016
Other Educational Services,2016,1012034.0,mar,3,2016
Professional  Services,2016,16234790.0,mar,3,2016
Legal Services,2016,5554674.0,mar,3,2016
Management Consulting,2016,3426307.0,mar,3,2016
Engineering & Architectural Services,2016,1757547.0,mar,3,2016
Computer,2016,1573128.0,mar,3,2016
"Accounting, Auditing, Bookkeeping",2016,1794668.0,mar,3,2016
Advertising and Other Professional Services,2016,2128467.0,mar,3,2016
Hotels,2016,1030786.0,mar,3,2016
Restaurants,2016,3838055.0,mar,3,2016
Sport Teams,2016,1815615.0,mar,3,2016
"Arts, Entertainment, and Other Recreation",2016,1118133.0,mar,3,2016
Other Sectors,2016,9424284.0,mar,3,2016
Membership Organizations,2016,2520085.0,mar,3,2016
Employment/Outsourcing Agencies,2016,2293470.0,mar,3,2016
Security and Investigation Services,2016,643226.0,mar,3,2016
Services to Buildings,2016,898655.0,mar,3,2016
Miscellaneous Sectors,2016,3068849.0,mar,3,2016
Government,2016,22081479.0,mar,3,2016
State Government (PA),2016,993587.0,mar,3,2016
"City, School District, Local Quasi Govt.",2016,10745617.0,mar,3,2016
Federal Government (includes US Post Office),2016,10146990.0,mar,3,2016
Other Governments,2016,195285.0,mar,3,2016
Unclassified Accounts,2016,379424.0,mar,3,2016
Construction,2016,5059491.0,apr,4,2016
Manufacturing (includes headquarter offices & factories),2016,8980514.0,apr,4,2016
"Chemicals, Petroleum Refining",2016,1865076.0,apr,4,2016
Pharmaceuticals,2016,2011271.0,apr,4,2016
Transportation Equipment,2016,911424.0,apr,4,2016
Food & Beverage Products,2016,1089183.0,apr,4,2016
"Machinery, Electronic, and Other Electric Equipment",2016,678856.0,apr,4,2016
Metal Manufacturing,2016,655375.0,apr,4,2016
Miscellaneous Manufacturing,2016,1769329.0,apr,4,2016
Public Utilities,2016,1222804.0,apr,4,2016
Transportation and Warehousing,2016,4631925.0,apr,4,2016
Telecommunication,2016,5430087.0,apr,4,2016
"Publishing, Broadcasting, and Other Information",2016,1871289.0,apr,4,2016
Wholesale Trade,2016,2888418.0,apr,4,2016
Retail Trade,2016,7091748.0,apr,4,2016
Banking & Credit Unions,2016,3835935.0,apr,4,2016
Securities / Financial Investments,2016,5637573.0,apr,4,2016
Insurance,2016,5491246.0,apr,4,2016
"Real Estate, Rental and Leasing",2016,2145967.0,apr,4,2016
Health and Social Services,2016,28189874.0,apr,4,2016
Hospitals,2016,15635157.0,apr,4,2016
"Doctors, Dentists, and Other Health Practitioners",2016,3014782.0,apr,4,2016
Outpatient Care Centers and Other Health Services,2016,3955028.0,apr,4,2016
Nursing & Personal Care Facilities,2016,3036422.0,apr,4,2016
Social Services,2016,2548486.0,apr,4,2016
Education,2016,15679704.0,apr,4,2016
College and Universities,2016,12706939.0,apr,4,2016
"Elementary, Secondary Schools (except public schools)",2016,1993900.0,apr,4,2016
Other Educational Services,2016,978865.0,apr,4,2016
Professional  Services,2016,14385798.0,apr,4,2016
Legal Services,2016,4427795.0,apr,4,2016
Management Consulting,2016,2823402.0,apr,4,2016
Engineering & Architectural Services,2016,1880046.0,apr,4,2016
Computer,2016,1280719.0,apr,4,2016
"Accounting, Auditing, Bookkeeping",2016,1804186.0,apr,4,2016
Advertising and Other Professional Services,2016,2169650.0,apr,4,2016
Hotels,2016,777672.0,apr,4,2016
Restaurants,2016,3694267.0,apr,4,2016
Sport Teams,2016,993556.0,apr,4,2016
"Arts, Entertainment, and Other Recreation",2016,1046247.0,apr,4,2016
Other Sectors,2016,9606860.0,apr,4,2016
Membership Organizations,2016,2837888.0,apr,4,2016
Employment/Outsourcing Agencies,2016,2159966.0,apr,4,2016
Security and Investigation Services,2016,651152.0,apr,4,2016
Services to Buildings,2016,836158.0,apr,4,2016
Miscellaneous Sectors,2016,3121697.0,apr,4,2016
Government,2016,12561155.0,apr,4,2016
State Government (PA),2016,959534.0,apr,4,2016
"City, School District, Local Quasi Govt.",2016,8731691.0,apr,4,2016
Federal Government (includes US Post Office),2016,2742338.0,apr,4,2016
Other Governments,2016,127592.0,apr,4,2016
Unclassified Accounts,2016,384160.0,apr,4,2016
Construction,2016,5909065.0,may,5,2016
Manufacturing (includes headquarter offices & factories),2016,9379481.0,may,5,2016
"Chemicals, Petroleum Refining",2016,1138946.0,may,5,2016
Pharmaceuticals,2016,1763010.0,may,5,2016
Transportation Equipment,2016,897391.0,may,5,2016
Food & Beverage Products,2016,1340664.0,may,5,2016
"Machinery, Electronic, and Other Electric Equipment",2016,843222.0,may,5,2016
Metal Manufacturing,2016,1143627.0,may,5,2016
Miscellaneous Manufacturing,2016,2252620.0,may,5,2016
Public Utilities,2016,1021775.0,may,5,2016
Transportation and Warehousing,2016,4939317.0,may,5,2016
Telecommunication,2016,3074331.0,may,5,2016
"Publishing, Broadcasting, and Other Information",2016,2311047.0,may,5,2016
Wholesale Trade,2016,4311399.0,may,5,2016
Retail Trade,2016,8150751.0,may,5,2016
Banking & Credit Unions,2016,2986052.0,may,5,2016
Securities / Financial Investments,2016,3074272.0,may,5,2016
Insurance,2016,4701061.0,may,5,2016
"Real Estate, Rental and Leasing",2016,2404781.0,may,5,2016
Health and Social Services,2016,30862349.0,may,5,2016
Hospitals,2016,15010335.0,may,5,2016
"Doctors, Dentists, and Other Health Practitioners",2016,4284871.0,may,5,2016
Outpatient Care Centers and Other Health Services,2016,5247291.0,may,5,2016
Nursing & Personal Care Facilities,2016,2993829.0,may,5,2016
Social Services,2016,3326024.0,may,5,2016
Education,2016,14419920.0,may,5,2016
College and Universities,2016,10853895.0,may,5,2016
"Elementary, Secondary Schools (except public schools)",2016,2399924.0,may,5,2016
Other Educational Services,2016,1166101.0,may,5,2016
Professional  Services,2016,18141740.0,may,5,2016
Legal Services,2016,5160220.0,may,5,2016
Management Consulting,2016,3774064.0,may,5,2016
Engineering & Architectural Services,2016,2033583.0,may,5,2016
Computer,2016,1817844.0,may,5,2016
"Accounting, Auditing, Bookkeeping",2016,2073116.0,may,5,2016
Advertising and Other Professional Services,2016,3282912.0,may,5,2016
Hotels,2016,973285.0,may,5,2016
Restaurants,2016,4738075.0,may,5,2016
Sport Teams,2016,941745.0,may,5,2016
"Arts, Entertainment, and Other Recreation",2016,1325145.0,may,5,2016
Other Sectors,2016,12821449.0,may,5,2016
Membership Organizations,2016,3624003.0,may,5,2016
Employment/Outsourcing Agencies,2016,2556413.0,may,5,2016
Security and Investigation Services,2016,682706.0,may,5,2016
Services to Buildings,2016,1080517.0,may,5,2016
Miscellaneous Sectors,2016,4877810.0,may,5,2016
Government,2016,16412079.0,may,5,2016
State Government (PA),2016,1169367.0,may,5,2016
"City, School District, Local Quasi Govt.",2016,10914788.0,may,5,2016
Federal Government (includes US Post Office),2016,4124562.0,may,5,2016
Other Governments,2016,203362.0,may,5,2016
Unclassified Accounts,2016,646868.0,may,5,2016
Construction,2016,4411098.0,jun,6,2016
Manufacturing (includes headquarter offices & factories),2016,8643988.0,jun,6,2016
"Chemicals, Petroleum Refining",2016,1795205.0,jun,6,2016
Pharmaceuticals,2016,1509792.0,jun,6,2016
Transportation Equipment,2016,1125997.0,jun,6,2016
Food & Beverage Products,2016,1255753.0,jun,6,2016
"Machinery, Electronic, and Other Electric Equipment",2016,696830.0,jun,6,2016
Metal Manufacturing,2016,644646.0,jun,6,2016
Miscellaneous Manufacturing,2016,1615765.0,jun,6,2016
Public Utilities,2016,891698.0,jun,6,2016
Transportation and Warehousing,2016,5202266.0,jun,6,2016
Telecommunication,2016,3807583.0,jun,6,2016
"Publishing, Broadcasting, and Other Information",2016,1850491.0,jun,6,2016
Wholesale Trade,2016,2931703.0,jun,6,2016
Retail Trade,2016,6672282.0,jun,6,2016
Banking & Credit Unions,2016,2635488.0,jun,6,2016
Securities / Financial Investments,2016,5749799.0,jun,6,2016
Insurance,2016,5199721.0,jun,6,2016
"Real Estate, Rental and Leasing",2016,1726937.0,jun,6,2016
Health and Social Services,2016,29951575.0,jun,6,2016
Hospitals,2016,16216196.0,jun,6,2016
"Doctors, Dentists, and Other Health Practitioners",2016,3184256.0,jun,6,2016
Outpatient Care Centers and Other Health Services,2016,4940606.0,jun,6,2016
Nursing & Personal Care Facilities,2016,3004932.0,jun,6,2016
Social Services,2016,2605584.0,jun,6,2016
Education,2016,14123515.0,jun,6,2016
College and Universities,2016,10944528.0,jun,6,2016
"Elementary, Secondary Schools (except public schools)",2016,2232578.0,jun,6,2016
Other Educational Services,2016,946410.0,jun,6,2016
Professional  Services,2016,13821077.0,jun,6,2016
Legal Services,2016,5028179.0,jun,6,2016
Management Consulting,2016,2324051.0,jun,6,2016
Engineering & Architectural Services,2016,1539409.0,jun,6,2016
Computer,2016,1331333.0,jun,6,2016
"Accounting, Auditing, Bookkeeping",2016,1635515.0,jun,6,2016
Advertising and Other Professional Services,2016,1962591.0,jun,6,2016
Hotels,2016,902979.0,jun,6,2016
Restaurants,2016,3724951.0,jun,6,2016
Sport Teams,2016,1743081.0,jun,6,2016
"Arts, Entertainment, and Other Recreation",2016,1183241.0,jun,6,2016
Other Sectors,2016,8955012.0,jun,6,2016
Membership Organizations,2016,2541328.0,jun,6,2016
Employment/Outsourcing Agencies,2016,2185622.0,jun,6,2016
Security and Investigation Services,2016,655177.0,jun,6,2016
Services to Buildings,2016,867340.0,jun,6,2016
Miscellaneous Sectors,2016,2705545.0,jun,6,2016
Government,2016,13727524.0,jun,6,2016
State Government (PA),2016,973197.0,jun,6,2016
"City, School District, Local Quasi Govt.",2016,8857017.0,jun,6,2016
Federal Government (includes US Post Office),2016,3683789.0,jun,6,2016
Other Governments,2016,213521.0,jun,6,2016
Unclassified Accounts,2016,182693.0,jun,6,2016
Construction,2017,5163611.0,jul,7,2016
Manufacturing (includes headquarter offices & factories),2017,7520916.0,jul,7,2016
"Chemicals, Petroleum Refining",2017,1321373.0,jul,7,2016
Pharmaceuticals,2017,1321259.0,jul,7,2016
Transportation Equipment,2017,840771.0,jul,7,2016
Food & Beverage Products,2017,1070398.0,jul,7,2016
"Machinery, Electronic, and Other Electric Equipment",2017,622589.0,jul,7,2016
Metal Manufacturing,2017,641038.0,jul,7,2016
Miscellaneous Manufacturing,2017,1703486.0,jul,7,2016
Public Utilities,2017,1010355.0,jul,7,2016
Transportation and Warehousing,2017,4459456.0,jul,7,2016
Telecommunication,2017,3201012.0,jul,7,2016
"Publishing, Broadcasting, and Other Information",2017,1597858.0,jul,7,2016
Wholesale Trade,2017,3022755.0,jul,7,2016
Retail Trade,2017,6504015.0,jul,7,2016
Banking & Credit Unions,2017,2321035.0,jul,7,2016
Securities / Financial Investments,2017,2658155.0,jul,7,2016
Insurance,2017,4454719.0,jul,7,2016
"Real Estate, Rental and Leasing",2017,1833089.0,jul,7,2016
Health and Social Services,2017,29056601.0,jul,7,2016
Hospitals,2017,15592168.0,jul,7,2016
"Doctors, Dentists, and Other Health Practitioners",2017,3456022.0,jul,7,2016
Outpatient Care Centers and Other Health Services,2017,4246558.0,jul,7,2016
Nursing & Personal Care Facilities,2017,3065992.0,jul,7,2016
Social Services,2017,2695861.0,jul,7,2016
Education,2017,14213953.0,jul,7,2016
College and Universities,2017,11175485.0,jul,7,2016
"Elementary, Secondary Schools (except public schools)",2017,2112954.0,jul,7,2016
Other Educational Services,2017,925515.0,jul,7,2016
Professional  Services,2017,14536611.0,jul,7,2016
Legal Services,2017,4955665.0,jul,7,2016
Management Consulting,2017,2862724.0,jul,7,2016
Engineering & Architectural Services,2017,1712946.0,jul,7,2016
Computer,2017,1217734.0,jul,7,2016
"Accounting, Auditing, Bookkeeping",2017,1733116.0,jul,7,2016
Advertising and Other Professional Services,2017,2054426.0,jul,7,2016
Hotels,2017,878303.0,jul,7,2016
Restaurants,2017,4042678.0,jul,7,2016
Sport Teams,2017,1775417.0,jul,7,2016
"Arts, Entertainment, and Other Recreation",2017,1104211.0,jul,7,2016
Other Sectors,2017,10157866.0,jul,7,2016
Membership Organizations,2017,2945798.0,jul,7,2016
Employment/Outsourcing Agencies,2017,2019047.0,jul,7,2016
Security and Investigation Services,2017,837136.0,jul,7,2016
Services to Buildings,2017,924476.0,jul,7,2016
Miscellaneous Sectors,2017,3431409.0,jul,7,2016
Government,2017,22020230.0,jul,7,2016
State Government (PA),2017,926013.0,jul,7,2016
"City, School District, Local Quasi Govt.",2017,9848444.0,jul,7,2016
Federal Government (includes US Post Office),2017,11086977.0,jul,7,2016
Other Governments,2017,158795.0,jul,7,2016
Unclassified Accounts,2017,253277.0,jul,7,2016
Construction,2017,6383296.0,aug,8,2016
Manufacturing (includes headquarter offices & factories),2017,9846093.0,aug,8,2016
"Chemicals, Petroleum Refining",2017,1592401.0,aug,8,2016
Pharmaceuticals,2017,1754005.0,aug,8,2016
Transportation Equipment,2017,1026454.0,aug,8,2016
Food & Beverage Products,2017,1583856.0,aug,8,2016
"Machinery, Electronic, and Other Electric Equipment",2017,874919.0,aug,8,2016
Metal Manufacturing,2017,763584.0,aug,8,2016
Miscellaneous Manufacturing,2017,2250874.0,aug,8,2016
Public Utilities,2017,1011794.0,aug,8,2016
Transportation and Warehousing,2017,5568670.0,aug,8,2016
Telecommunication,2017,3319454.0,aug,8,2016
"Publishing, Broadcasting, and Other Information",2017,2301749.0,aug,8,2016
Wholesale Trade,2017,4373095.0,aug,8,2016
Retail Trade,2017,8398356.0,aug,8,2016
Banking & Credit Unions,2017,3384878.0,aug,8,2016
Securities / Financial Investments,2017,3665378.0,aug,8,2016
Insurance,2017,5316734.0,aug,8,2016
"Real Estate, Rental and Leasing",2017,2793921.0,aug,8,2016
Health and Social Services,2017,36694573.0,aug,8,2016
Hospitals,2017,18499705.0,aug,8,2016
"Doctors, Dentists, and Other Health Practitioners",2017,4740441.0,aug,8,2016
Outpatient Care Centers and Other Health Services,2017,6341408.0,aug,8,2016
Nursing & Personal Care Facilities,2017,3410186.0,aug,8,2016
Social Services,2017,3702833.0,aug,8,2016
Education,2017,15200117.0,aug,8,2016
College and Universities,2017,11773829.0,aug,8,2016
"Elementary, Secondary Schools (except public schools)",2017,2304327.0,aug,8,2016
Other Educational Services,2017,1121961.0,aug,8,2016
Professional  Services,2017,19140898.0,aug,8,2016
Legal Services,2017,5751893.0,aug,8,2016
Management Consulting,2017,4065863.0,aug,8,2016
Engineering & Architectural Services,2017,2214129.0,aug,8,2016
Computer,2017,1791372.0,aug,8,2016
"Accounting, Auditing, Bookkeeping",2017,2040046.0,aug,8,2016
Advertising and Other Professional Services,2017,3277595.0,aug,8,2016
Hotels,2017,1130687.0,aug,8,2016
Restaurants,2017,5224568.0,aug,8,2016
Sport Teams,2017,1644219.0,aug,8,2016
"Arts, Entertainment, and Other Recreation",2017,1488325.0,aug,8,2016
Other Sectors,2017,13907281.0,aug,8,2016
Membership Organizations,2017,3790183.0,aug,8,2016
Employment/Outsourcing Agencies,2017,3002398.0,aug,8,2016
Security and Investigation Services,2017,769039.0,aug,8,2016
Services to Buildings,2017,1295389.0,aug,8,2016
Miscellaneous Sectors,2017,5050271.0,aug,8,2016
Government,2017,17997600.0,aug,8,2016
State Government (PA),2017,1146358.0,aug,8,2016
"City, School District, Local Quasi Govt.",2017,11604925.0,aug,8,2016
Federal Government (includes US Post Office),2017,4975927.0,aug,8,2016
Other Governments,2017,270391.0,aug,8,2016
Unclassified Accounts,2017,435057.0,aug,8,2016
Construction,2017,4694226.0,sep,9,2016
Manufacturing (includes headquarter offices & factories),2017,7579147.0,sep,9,2016
"Chemicals, Petroleum Refining",2017,1274048.0,sep,9,2016
Pharmaceuticals,2017,1609851.0,sep,9,2016
Transportation Equipment,2017,850155.0,sep,9,2016
Food & Beverage Products,2017,1117169.0,sep,9,2016
"Machinery, Electronic, and Other Electric Equipment",2017,615417.0,sep,9,2016
Metal Manufacturing,2017,620543.0,sep,9,2016
Miscellaneous Manufacturing,2017,1491965.0,sep,9,2016
Public Utilities,2017,1108642.0,sep,9,2016
Transportation and Warehousing,2017,4430279.0,sep,9,2016
Telecommunication,2017,2660447.0,sep,9,2016
"Publishing, Broadcasting, and Other Information",2017,1615918.0,sep,9,2016
Wholesale Trade,2017,2779233.0,sep,9,2016
Retail Trade,2017,6148668.0,sep,9,2016
Banking & Credit Unions,2017,2488375.0,sep,9,2016
Securities / Financial Investments,2017,3722594.0,sep,9,2016
Insurance,2017,4135375.0,sep,9,2016
"Real Estate, Rental and Leasing",2017,1986000.0,sep,9,2016
Health and Social Services,2017,28308840.0,sep,9,2016
Hospitals,2017,15976777.0,sep,9,2016
"Doctors, Dentists, and Other Health Practitioners",2017,2971596.0,sep,9,2016
Outpatient Care Centers and Other Health Services,2017,4007426.0,sep,9,2016
Nursing & Personal Care Facilities,2017,2779361.0,sep,9,2016
Social Services,2017,2573680.0,sep,9,2016
Education,2017,15040414.0,sep,9,2016
College and Universities,2017,12392717.0,sep,9,2016
"Elementary, Secondary Schools (except public schools)",2017,1790819.0,sep,9,2016
Other Educational Services,2017,856878.0,sep,9,2016
Professional  Services,2017,13744794.0,sep,9,2016
Legal Services,2017,4433788.0,sep,9,2016
Management Consulting,2017,2665400.0,sep,9,2016
Engineering & Architectural Services,2017,1460568.0,sep,9,2016
Computer,2017,1226847.0,sep,9,2016
"Accounting, Auditing, Bookkeeping",2017,2036943.0,sep,9,2016
Advertising and Other Professional Services,2017,1921248.0,sep,9,2016
Hotels,2017,852511.0,sep,9,2016
Restaurants,2017,3292602.0,sep,9,2016
Sport Teams,2017,2448666.0,sep,9,2016
"Arts, Entertainment, and Other Recreation",2017,1046099.0,sep,9,2016
Other Sectors,2017,8792767.0,sep,9,2016
Membership Organizations,2017,2659757.0,sep,9,2016
Employment/Outsourcing Agencies,2017,1871184.0,sep,9,2016
Security and Investigation Services,2017,653959.0,sep,9,2016
Services to Buildings,2017,822505.0,sep,9,2016
Miscellaneous Sectors,2017,2785362.0,sep,9,2016
Government,2017,25328883.0,sep,9,2016
State Government (PA),2017,949768.0,sep,9,2016
"City, School District, Local Quasi Govt.",2017,9366834.0,sep,9,2016
Federal Government (includes US Post Office),2017,14872966.0,sep,9,2016
Other Governments,2017,139315.0,sep,9,2016
Unclassified Accounts,2017,203402.0,sep,9,2016
Construction,2017,6170041.0,oct,10,2016
Manufacturing (includes headquarter offices & factories),2017,10289481.0,oct,10,2016
"Chemicals, Petroleum Refining",2017,1557512.0,oct,10,2016
Pharmaceuticals,2017,2037821.0,oct,10,2016
Transportation Equipment,2017,950147.0,oct,10,2016
Food & Beverage Products,2017,1842903.0,oct,10,2016
"Machinery, Electronic, and Other Electric Equipment",2017,911249.0,oct,10,2016
Metal Manufacturing,2017,729431.0,oct,10,2016
Miscellaneous Manufacturing,2017,2260418.0,oct,10,2016
Public Utilities,2017,1064845.0,oct,10,2016
Transportation and Warehousing,2017,5256522.0,oct,10,2016
Telecommunication,2017,2815199.0,oct,10,2016
"Publishing, Broadcasting, and Other Information",2017,2258535.0,oct,10,2016
Wholesale Trade,2017,4293353.0,oct,10,2016
Retail Trade,2017,8326954.0,oct,10,2016
Banking & Credit Unions,2017,3040235.0,oct,10,2016
Securities / Financial Investments,2017,3245046.0,oct,10,2016
Insurance,2017,4646187.0,oct,10,2016
"Real Estate, Rental and Leasing",2017,2697277.0,oct,10,2016
Health and Social Services,2017,33304574.0,oct,10,2016
Hospitals,2017,16185939.0,oct,10,2016
"Doctors, Dentists, and Other Health Practitioners",2017,4475406.0,oct,10,2016
Outpatient Care Centers and Other Health Services,2017,5557591.0,oct,10,2016
Nursing & Personal Care Facilities,2017,3587765.0,oct,10,2016
Social Services,2017,3497873.0,oct,10,2016
Education,2017,15830319.0,oct,10,2016
College and Universities,2017,12250228.0,oct,10,2016
